연번,구군명,법정동,행정동,기관명,주소,연락처,운영요일,휴무일,(학기)시작,(학기)종료,(방학)시작,(방학)종료,이용대상,이용요금,full_addr,lon,lat,match_type,matched_query
125,해운대구,재송동,재송2동,미래지역아동센터,"해운대구 해운대로81번길 85, 3층(재송동)",051.782-2850,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 해운대구 해운대로81번길 85, 3층(재송동)",129.12489303509,35.1911247024261,address_full,"부산광역시 해운대구 해운대로81번길 85, 3층(재송동)"
126,해운대구,재송동,재송2동,재반지역아동센터,"해운대구 재송2로74번길 36, 2,4층(재송동)",051-783-7822,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 해운대구 재송2로74번길 36, 2,4층(재송동)",129.132814859046,35.1910709053859,address_clean,부산광역시 해운대구 재송2로74번길 36
127,해운대구,재송동,재송2동,즐거운지역아동센터,"해운대구 재송2로74번길 36, 3층(재송동)",051-782-7776,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 해운대구 재송2로74번길 36, 3층(재송동)",129.132814859046,35.1910709053859,address_full,"부산광역시 해운대구 재송2로74번길 36, 3층(재송동)"
128,해운대구,좌동,좌1동,뉴라이프지역아동센터,"해운대구 대천로 103번길 9, 상가 304호(좌동, 대림2차)",051-702-1745,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 해운대구 대천로 103번길 9, 상가 304호(좌동, 대림2차)",129.172437294306,35.1748121460862,address_full,"부산광역시 해운대구 대천로 103번길 9, 상가 304호(좌동, 대림2차)"
129,해운대구,좌동,좌3동,좌동지역아동센터,"해운대구 대천로67번길 12, 상가 404호(좌동)",051-746-3389,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 해운대구 대천로67번길 12, 상가 404호(좌동)",129.168906951459,35.1735606786562,address_full,"부산광역시 해운대구 대천로67번길 12, 상가 404호(좌동)"
130,해운대구,중동,중2동,나눔터지역아동센터,"해운대구 달맞이길 239-11, 상가 202-203호(중동, 달맞이우성빌 라트)",051-746-9107,월-금,"토, 일, 공휴일",10:00,22:00,10:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료(야간연장 돌봄서비스 포함),"부산광역시 해운대구 달맞이길 239-11, 상가 202-203호(중동, 달맞이우성빌 라트)",129.184324509381,35.1622379244233,address_full,"부산광역시 해운대구 달맞이길 239-11, 상가 202-203호(중동, 달맞이우성빌 라트)"
131,사하구,감천동,감천2동,우리누리지역아동센터,사하구 감내1로 234(감천동),051-291-9020,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사하구 감내1로 234(감천동),129.009531520532,35.0979359506579,address_full,부산광역시 사하구 감내1로 234(감천동)
132,사하구,괴정동,괴정1동,홀리트리지역아동센터,사하구 사하로 151-1(괴정동),051-292-2630,월-금,"토, 일, 공휴일",9:00,19:00,9:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사하구 사하로 151-1(괴정동),128.993262034324,35.095405362235,address_full,부산광역시 사하구 사하로 151-1(괴정동)
133,사하구,다대동,다대1동,기쁨지역아동센터,사하구 윤공단로51번길 17(다대동),051-962-6304,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사하구 윤공단로51번길 17(다대동),128.967450292741,35.0561458065374,address_full,부산광역시 사하구 윤공단로51번길 17(다대동)
134,사하구,다대동,다대1동,다대지역아동센터,사하구 다대동로 55(다대동),051-264-7002,월-금,"토, 일, 공휴일",10:00,22:00,10:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료(야간연장 돌봄서비스 포함),부산광역시 사하구 다대동로 55(다대동),128.973570598182,35.0578362990721,address_full,부산광역시 사하구 다대동로 55(다대동)
135,사하구,다대동,다대1동,몰운대지역아동센터,사하구 다대로 702-2(다대동),051-262-7132,월-토,"일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사하구 다대로 702-2(다대동),128.964791994591,35.0491045327064,address_full,부산광역시 사하구 다대로 702-2(다대동)
136,사하구,다대동,다대1동,사랑지역아동센터,사하구 윤공단로56번길 66(다대동),051-263-3380,월-토,"일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사하구 윤공단로56번길 66(다대동),128.970702255302,35.0591200150046,address_full,부산광역시 사하구 윤공단로56번길 66(다대동)
137,사하구,다대동,다대2동,엄마손지역아동센터,사하구 다송로 8-1(다대동),051-266-4202,월-금,"토, 일, 공휴일",9:00,22:00,9:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료(야간연장 돌봄서비스 센터 이용료 직접 문의),부산광역시 사하구 다송로 8-1(다대동),128.980649487159,35.0663306654337,address_full,부산광역시 사하구 다송로 8-1(다대동)
138,사하구,다대동,다대2동,장대현지역아동센터,사하구 다송로72번길 43(다대동),051-263-0909,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사하구 다송로72번길 43(다대동),128.98182009214,35.0602141808463,address_full,부산광역시 사하구 다송로72번길 43(다대동)
139,사하구,당리동,당리동,사하중앙지역아동센터,"사하구 승학로 123, 1층(당리동)",051-204-0501,월-금,"토, 일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사하구 승학로 123, 1층(당리동)",128.980938091078,35.1037548417316,address_full,"부산광역시 사하구 승학로 123, 1층(당리동)"
140,사하구,당리동,당리동,승학지역아동센터,"사하구 제석로 46-1, 4층(당리동)",051-201-1150,월-토,"일, 공휴일",11:00,23:00,11:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사하구 제석로 46-1, 4층(당리동)",128.973776979556,35.1049547277582,address_full,"부산광역시 사하구 제석로 46-1, 4층(당리동)"
141,사하구,당리동,당리동,희망주는지역아동센터,"사하구 동매로 161, 2층(당리동)",051-294-9000,월-금,"토, 일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사하구 동매로 161, 2층(당리동)",128.975651106538,35.1014300245646,address_full,"부산광역시 사하구 동매로 161, 2층(당리동)"
142,사하구,신평동,신평1동,느티나무지역아동센터,사하구 다대로 123-4(신평동),051-292-9477,월-금,"토, 일, 공휴일",11:00,20:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사하구 다대로 123-4(신평동),128.978322587099,35.0912986648287,address_full,부산광역시 사하구 다대로 123-4(신평동)
143,사하구,신평동,신평1동,동매사랑지역아동센터,"사하구 장평로 278, 3층(신평동)",051-201-5600,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사하구 장평로 278, 3층(신평동)",128.973421880271,35.0909984320317,address_full,"부산광역시 사하구 장평로 278, 3층(신평동)"
144,사하구,신평동,신평2동,신평지역아동센터,"사하구 하신번영로 153번길 66, 2~3층(신평동)",010-8538-3952,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사하구 하신번영로 153번길 66, 2~3층(신평동)",128.956371348351,35.096656918628,address_clean,부산광역시 사하구 하신번영로 153번길 66
145,사하구,장림동,장림2동,은항지역아동센터,사하구 두송로 12 (장림동),051-944-2025,월-금,"토, 일, 공휴일",10:00,20:00,10:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사하구 두송로 12 (장림동),128.977889791072,35.0797885573574,address_full,부산광역시 사하구 두송로 12 (장림동)
146,사하구,장림동,장림2동,장림지역아동센터,"사하구 두송로26번길 45, 2층(장림동)",070-4300-6006 (010-5223-,월-금,"토, 일, 공휴일",10:30,21:00,10:30,21:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사하구 두송로26번길 45, 2층(장림동)",128.980091237616,35.0772766065508,address_full,"부산광역시 사하구 두송로26번길 45, 2층(장림동)"
147,사하구,장림동,장림2동,한마음다문화지역아동센터,"사하구 장평로 115, 4층(장림동)",051-266-5656,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사하구 장평로 115, 4층(장림동)",128.97271991936,35.0763715873765,address_full,"부산광역시 사하구 장평로 115, 4층(장림동)"
148,사하구,하단동,하단1동,하단지역아동센터,"사하구 낙동남로 1362, 201호(하단동, 나산리츠)",051-204-1388,월-금,"토, 일, 공휴일",10:00,20:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사하구 낙동남로 1362, 201호(하단동, 나산리츠)",128.960499893822,35.1059139010905,address_full,"부산광역시 사하구 낙동남로 1362, 201호(하단동, 나산리츠)"
149,금정구,구서동,구서2동,구서지역아동센터,"금정구 금강로578번길 24, 3층(구서동)",051-505-1925,월-금,"토, 일, 공휴일",11:00,22:00,11:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 금정구 금강로578번길 24, 3층(구서동)",129.088902033078,35.2587790352828,address_full,"부산광역시 금정구 금강로578번길 24, 3층(구서동)"
150,금정구,남산동,남산동,금샘마을지역아동센터,금정구 팔송로53번길 14(남산동),051-513-2866,월-금,"토, 일, 공휴일",11:00,22:00,11:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원",부산광역시 금정구 팔송로53번길 14(남산동),129.086592260514,35.2714225615538,address_full,부산광역시 금정구 팔송로53번길 14(남산동)
151,금정구,남산동,남산동,두레지역아동센터,"금정구 팔송로7번길 21, 2층(남산동)",051-517-5080,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 금정구 팔송로7번길 21, 2층(남산동)",129.091824006853,35.2711749312618,address_full,"부산광역시 금정구 팔송로7번길 21, 2층(남산동)"
152,금정구,남산동,남산동,예일지역아동센터,"금정구 중앙대로 2003, 4층(남산동)",051-582-7912,월-금,"토, 일, 공휴일",11:00,20:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 금정구 중앙대로 2003, 4층(남산동)",129.091717609948,35.2631914832902,address_full,"부산광역시 금정구 중앙대로 2003, 4층(남산동)"
153,금정구,두구동,선두구동,한나래지역아동센터,"금정구 체육공원로 705-5, 2층(두구동, 인도문화원)",051-508-0340,월-금,"토, 일, 공휴일",10:00,19:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 금정구 체육공원로 705-5, 2층(두구동, 인도문화원)",129.111598797473,35.3032463700247,address_full,"부산광역시 금정구 체육공원로 705-5, 2층(두구동, 인도문화원)"
154,금정구,부곡동,부곡1동,부곡지역아동센터,"금정구 가마실로 37-1, 2층(부곡동)",051-514-4111,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 금정구 가마실로 37-1, 2층(부곡동)",129.092953230946,35.2244559426597,address_full,"부산광역시 금정구 가마실로 37-1, 2층(부곡동)"
155,금정구,부곡동,부곡2동,누리지역아동센터,"금정구 무학송로 12, 2층(부곡동)",051-512-1044,월-금,"토, 일, 공휴일",12:00,22:00,12:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원","부산광역시 금정구 무학송로 12, 2층(부곡동)",129.092427108393,35.2320934290638,address_full,"부산광역시 금정구 무학송로 12, 2층(부곡동)"
156,금정구,서동,서1동,협력지역아동센터,"금정구 서동시장길 4-7, 1층(서동)",051-526-0975,월-금,"토, 일, 공휴일",12:00,22:00,12:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원","부산광역시 금정구 서동시장길 4-7, 1층(서동)",129.098707582759,35.2168509863375,address_full,"부산광역시 금정구 서동시장길 4-7, 1층(서동)"
157,금정구,서동,서2동,해오름지역아동센터,"금정구 서명로 9, 3층(서동)",051-525-9797,월-금,"토, 일, 공휴일",12:00,22:00,12:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원","부산광역시 금정구 서명로 9, 3층(서동)",129.102187050124,35.2139882981517,address_full,"부산광역시 금정구 서명로 9, 3층(서동)"
158,금정구,서동,서3동,금사나너울지역아동센터,"금정구 금사로67번길 52, 3층(서동)",051-531-6228,월-금,"토, 일, 공휴일",10:00,22:00,10:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 금정구 금사로67번길 52, 3층(서동)",129.108502983667,35.220331971374,address_full,"부산광역시 금정구 금사로67번길 52, 3층(서동)"
159,금정구,서동,서3동,서동지역아동센터,금정구 서금로 24-1(서동),051-526-6279,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 금정구 서금로 24-1(서동),129.104328287716,35.2181705203536,address_full,부산광역시 금정구 서금로 24-1(서동)
160,금정구,서동,서3동,지역아동센터예닮,"금정구 서부로16번길 23-4, 3층(서동)",051-529-9096,월-금,"토, 일, 공휴일",9:00,20:00,9:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 금정구 서부로16번길 23-4, 3층(서동)",129.104758128022,35.2165266543708,address_full,"부산광역시 금정구 서부로16번길 23-4, 3층(서동)"
161,금정구,장전동,장전1동,글누리지역아동센터,"금정구 수림로75번길 2, 2층(장전동)",051-581-6996,월-금,"토, 일, 공휴일",11:00,22:00,11:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동","무료, 단, 야간연장 돌봄서비스 이용시 1일 5,000원","부산광역시 금정구 수림로75번길 2, 2층(장전동)",129.084004623805,35.2398378081628,address_full,"부산광역시 금정구 수림로75번길 2, 2층(장전동)"
162,금정구,장전동,장전2동,부산동부좋은이웃지역아동센터,"금정구 금정로 35, 3층(장전동)",070-8931-2443,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 금정구 금정로 35, 3층(장전동)",129.08578703165,35.2278430093408,address_full,"부산광역시 금정구 금정로 35, 3층(장전동)"
163,강서구,대저동,대저1동,강서지역아동센터,"강서구 대저로 63번길 31, 1층(대저동, 강서구종합사회복지관)",051-972-4596,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 강서구 대저로 63번길 31, 1층(대저동, 강서구종합사회복지관)",128.959338310075,35.2167606770049,address_full,"부산광역시 강서구 대저로 63번길 31, 1층(대저동, 강서구종합사회복지관)"
164,강서구,명지동,명지1동,낙동지역아동센터,강서구 순아강변길 5(명지동),051-710-0583,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 강서구 순아강변길 5(명지동),128.902819257797,35.1197618601388,address_full,부산광역시 강서구 순아강변길 5(명지동)
165,강서구,신호동,신호동,신호지역아동센터,강서구 신호산단5로 48-20(신호동),051-941-3309,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 강서구 신호산단5로 48-20(신호동),128.878119550732,35.0825159550841,keyword,부산광역시 강서구 신호지역아동센터
166,강서구,천성동,가덕도동,천성지역아동센터,강서구 가덕해안로751번길 49(천성동),051-972-7843,월-토,"일, 공휴일",13:00,22:00,13:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 강서구 가덕해안로751번길 49(천성동),128.814380176193,35.0312289884476,address_full,부산광역시 강서구 가덕해안로751번길 49(천성동)
167,연제구,거제동,거제1동,교대지역아동센터,"연제구 중앙대로1235번길 37, 1층(거제동, 경원골든빌라)",051-501-1660,월-금,"토, 일, 공휴일",10:00,19:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 연제구 중앙대로1235번길 37, 1층(거제동, 경원골든빌라)",129.077275604249,35.1966882848799,address_full,"부산광역시 연제구 중앙대로1235번길 37, 1층(거제동, 경원골든빌라)"
168,연제구,거제동,거제2동,세계비전지역아동센터,"연제구 아시아드대로 24, 301호, 302호, 제비201호(거제동, 삼도 빌딩)",051-505-0630,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 연제구 아시아드대로 24, 301호, 302호, 제비201호(거제동, 삼도 빌딩)",129.069585405417,35.1873396725207,address_full,"부산광역시 연제구 아시아드대로 24, 301호, 302호, 제비201호(거제동, 삼도 빌딩)"
169,연제구,거제동,거제3동,누리샘지역아동센터,연제구 거제대로 198(거제동),051-852-8393,월-금,"토, 일, 공휴일",10;00,19:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 연제구 거제대로 198(거제동),129.072701135557,35.1844844030634,address_full,부산광역시 연제구 거제대로 198(거제동)
170,연제구,연산동,연산3동,연산지역아동센터,연제구 금련로38번길 77(연산동),051-867-1562,월-금,"토, 일, 공휴일",11:00,22:00,11:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 연제구 금련로38번길 77(연산동),129.093474752681,35.1717898170248,address_full,부산광역시 연제구 금련로38번길 77(연산동)
171,연제구,연산동,연산4동,징검다리지역아동센터,"연제구 중앙대로1150번길 25, 상가A동 101호(연산동, 창성골든 빌)",051-868-6279,월-금,"토, 일, 공휴일",10:00,21:30,10:00,21:30,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 연제구 중앙대로1150번길 25, 상가A동 101호(연산동, 창성골든 빌)",129.081975571533,35.1907518435575,address_full,"부산광역시 연제구 중앙대로1150번길 25, 상가A동 101호(연산동, 창성골든 빌)"
172,연제구,연산동,연산4동,한빛지역아동센터,"연제구 쌍미천로84번길 71, 2층(연산동)",051-863-8877,월-금,"토, 일, 공휴일",10:00,19:00,10;00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 연제구 쌍미천로84번길 71, 2층(연산동)",129.08916254406,35.180534120301,address_full,"부산광역시 연제구 쌍미천로84번길 71, 2층(연산동)"
173,연제구,연산동,연산5동,행복나눔지역아동센터,"연제구 거제천로118번길 47, 2층(연산동)",051-903-9006,월-금,"토, 일, 공휴일",10;00,22:00,10;00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 연제구 거제천로118번길 47, 2층(연산동)",129.077089534564,35.1832539100568,address_full,"부산광역시 연제구 거제천로118번길 47, 2층(연산동)"
174,연제구,연산동,연산6동,다원지역아동센터,연제구 쌍미천로 61(연산동),051-865-0555,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 연제구 쌍미천로 61(연산동),129.08903289929,35.1784065706762,address_full,부산광역시 연제구 쌍미천로 61(연산동)
175,연제구,연산동,연산6동,연제지역아동센터,"연제구 월드컵대로58번길 28, 1층(연산동)",051-868-0411,월-금,"토, 일, 공휴일",11:00,20:00,11:00,20:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 연제구 월드컵대로58번길 28, 1층(연산동)",129.085948051199,35.1796258521628,address_full,"부산광역시 연제구 월드컵대로58번길 28, 1층(연산동)"
176,연제구,연산동,연산8동,성심지역아동센터,"연제구 고분로143번길 14, 2층(연산동)",051-852-0339,월-금,"토, 일, 공휴일",11:00,22:00,11:00,22:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 연제구 고분로143번길 14, 2층(연산동)",129.098511031633,35.1860957454272,address_full,"부산광역시 연제구 고분로143번길 14, 2층(연산동)"
177,연제구,연산동,연산9동,다모아지역아동센터,연제구 과정로237번길 31(연산동),051-927-7099,월-금,"토, 일, 공휴일",10;00,19:00,10;00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 연제구 과정로237번길 31(연산동),129.102905453618,35.1868152968478,address_full,부산광역시 연제구 과정로237번길 31(연산동)
178,연제구,연산동,연산9동,예다빈지역아동센터,"연제구 온천천남로 110, 51동 209호(연산동, 한양아파트)",051-753-5909,월-금,"토, 일, 공휴일",12:00,21:00,12:00,21:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 연제구 온천천남로 110, 51동 209호(연산동, 한양아파트)",129.100628084087,35.1907586181256,address_full,"부산광역시 연제구 온천천남로 110, 51동 209호(연산동, 한양아파트)"
179,수영구,광안동,광안1동,광안해늘지역아동센터,수영구 수영로642번길 37(광안동),051-752-0281,월-금,"토, 일, 공휴일",10:00,19:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 수영구 수영로642번길 37(광안동),129.116290615184,35.1627298023631,address_full,부산광역시 수영구 수영로642번길 37(광안동)
180,수영구,광안동,광안4동,한솔지역아동센터,"수영구 호암로30번길 6, 2층(광안동)",051-757-9234,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 수영구 호암로30번길 6, 2층(광안동)",129.109981448847,35.1568758035454,address_full,"부산광역시 수영구 호암로30번길 6, 2층(광안동)"
181,수영구,망미동,광안3동,수영지역아동센터,"수영구 망미번영로38번길 87, 3층(망미동)",051-755-1864,월-금,"토, 일, 공휴일",10:00,19:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 수영구 망미번영로38번길 87, 3층(망미동)",129.112854635032,35.1683345830314,address_full,"부산광역시 수영구 망미번영로38번길 87, 3층(망미동)"
182,수영구,망미동,망미1동,망미지역아동센터,수영구 망미로8번길 28-1(망미동),051-758-8452,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 수영구 망미로8번길 28-1(망미동),129.103704295961,35.1722848687868,address_full,부산광역시 수영구 망미로8번길 28-1(망미동)
183,수영구,민락동,민락동,참좋은지역아동센터,"수영구민락로34번길 25, 2층(민락동)",051-751-0643,월-토,"일, 공휴일",10:00,19:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 수영구 민락로34번길 25, 2층(민락동)",129.122708636832,35.1583909873488,address_full,"부산광역시 수영구 민락로34번길 25, 2층(민락동)"
184,사상구,감전동,감전동,사상해오름지역아동센터,사상구 새벽시장로56번가길41 2층(감전동),051-328-5995,월-금,"토, 일, 공휴일",11:00,20:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 새벽시장로56번가길41 2층(감전동),128.977942683799,35.1541029334098,address_full,부산광역시 사상구 새벽시장로56번가길41 2층(감전동)
185,사상구,감전동,감전동,아가페지역아동센터,"사상구 새벽시장로63번길 42, 2층(감전동)",070-7543-4619,월-금,"토, 일, 공휴일",10:00,19:00,9:00,18:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,"부산광역시 사상구 새벽시장로63번길 42, 2층(감전동)",128.981483752616,35.156982709419,address_full,"부산광역시 사상구 새벽시장로63번길 42, 2층(감전동)"
186,사상구,괘법동,괘법동,괘내행복마을지역아동센터,사상구 백양대로 646번나길 22(괘법동),051-316-1511,월-금,"토, 일, 공휴일",10:00,19:00,10:00,19:00,"수급자, 차상위계층, 다문화, 장애인, 탈북민 등 우선보호아동 50% 이상 그외 일반아동",무료,부산광역시 사상구 백양대로 646번나길 22(괘법동),128.98922502729,35.1635871349373,address_full,부산광역시 사상구 백양대로 646번나길 22(괘법동)
